plot_unit_id,character_list,dialogue_count,narrative_types,full_plot_text
220,"Aeris, Tifa, Red XIII, Cloud, Barret",8,"narration, dialogue, action","A little,...no, maybe a lot. But I have my bodyguard, right?
I thought you'd say that!
...I guess this is the start of our journey...
...I don't know. But, I don't have anywhere else to go. So I guess it doesn't really matter whether I like to travel or not.
......Mmm. But you know, it should be all right if you keep your promise.
I'm going back to my hometown. I'll go with you as far as that.
Then...
We need a group leader for our journey. 'Course only me could be the leader."
221,"Tifa, Aeris, Barret",8,"narration, action","You think so...?
It would have to be Cloud.
^#$^%......awright. Go Northeast to a town called Kalm. If something happens, we'll meet up there.
Sides, we can't have 5 people strolling down the fields. It's too dangerous. Split us into 2 parties...
...Unexpected
...combination.
Well, have fun with just the guys.
...Thought you'd do that."
222,"Barret, Tifa, RedXIII, Aeris",8,"narration, action","Later, at Kalm!
We'll see you at Kalm!
Hey Cloud. If we keep going, we'll never get to Kalm.
Hey, Cloud. Wasn't Kalm right before this cavern?
...We won't get to Kalm even if we go through these caverns.
Yo, wassup? Can't SOLDIER-man even lead the way?
Kalm should be closer to Midgar.
Cloud! Are you lost!?"
223,"RedXIII, Barret, Aeris, Tifa",8,"action, narration","If we're planning to meet at Kalm, we should go back and look for it again.
This is Kalm.
We've reached Kalm.
So this is Kalm?
......looks like we've reached Kalm.
Yo, I'll be waitin' at the inn... Hurry up and get your butt over there!
I wonder if everyone's there already. Let's hurry over to the inn!
Everyone's waiting at the inn. Let's go Cloud."
224,"RedXIII, Barret, Aeris, Tifa, Cloud, Innkeeper",8,"action, narration","We're supposed to meet at the inn. ......Shall we go?
Get over here!
Well then, I'll go on ahead.
Let's go Cloud.
Let's go Cloud.
Barret and the others are waiting for us at the inn.
Mr...... Cloud? Your party is waiting for you on the 2nd floor.
Cloud, you're late!"
225,"On-screen, Barret, Cloud, Aeris",8,"system, narration, action","Can't reach it...
Yo man, you're late!
Sorry to keep you waiting.
Guess everyone's here now.
So let's hear your story...... You know, the one about Sephiroth and the crisis facing the planet. Let's hear it all.
......I used to want to be like Sephiroth, so I joined SOLDIER. After working with Sephiroth on several missions, we became friends.
You call that a friend?
Yeah, well...... He's older than me, and he hardly ever talked about himself."
226,"Tifa, Cloud, Aeris, NPC 1",8,"narration, action",".........
So I guess you'd call him a war buddy...... We trusted each other. Until one day......
...one day?
After the war it was SOLDIER's duty to put down any resistance against the Shinra.
......that was 5 years ago. I was 16......
It sure is raining hard.
Hey, how are you doing?
I'm all right."
227,"Cloud, Sephiroth",8,"narration, action","I wouldn't know... I've never had motion sickness.
Everything okay?
Hey.
Settle down.
They gave me some new Materia. I can't wait to use it.
...just like a kid.
You going to brief us about this mission?
...this isn't a typical mission."
228,"Cloud, Sephiroth",8,"action, dialogue, narration","Good!
Why do you say that?
I joined SOLDIER so I could be like you. But by the time I made First Class, the war was already over. My big hopes of becoming a hero like you ended with the war. That's why I always sign up whenever there's a big mission. Kind of a way to prove myself.
Say, how do you feel, MISTER Sephiroth?
...I thought you wanted a briefing?
Our mission is to investigate an old Mako reactor. There have been reports of it malfunctioning, and producing brutal creatures. First, we will dispose of those creatures. Then, we'll locate the problem and neutralize it.
Brutal creatures... Where?
The Mako Reactor at Nibelheim."
229,"Cloud, Sephiroth, NPC 2, Aeris, Tifa",8,narration,"Nibelheim... That's where I'm from.
Hmm... hometown...
Sir... s, something strange just crashed into our truck!
That would be our Monster...
Sephiroth's strength is unreal. He is far stronger in reality than any story you might have heard about him.
So... Where do you come in?
Me? I was mesmerized by the way Sephiroth fought.
........."
230,"Cloud, Sephiroth, NPC",8,"narration, action","......and then we reached Nibelheim.
How does it feel? It's your first time back to your hometown in a long time, right? So how does it feel? I wouldn't know because I don't have a hometown...
Ummm... how 'bout your parents?
My mother is Jenova. She died right after she gave birth to me. My father...
What does it matter...? All right, let's go.
Psst...
It's so boring, being on watch.
Shall we practice?"
231,"NPC, Cloud, Sephiroth, Barret , Barret",8,"action, narration","Practice... oh, you mean practice my pose. Does someone in SOLDIER always have to be careful about what other people think? ...How did it go?
...Was it like this?
Good job!
I really don't want to be in SOLDIER.
I'll come and talk to you once in a while. Just stick with it.
The Mako smell is pretty bad here.
You wait a minute!! Isn't that, um...? The name of Sephiroth's mother...
I remember Jenova. That's that damn headless spook livin' in the Shinra building."
232,"Cloud, Tifa, Barret, Aeris, Cloud , Sephiroth",8,"narration, dialogue","That's right.
Barret, would you please let us hear what Cloud has to say? You can ask questions later.
Tifa, I was only......
Okay Cloud, continue.
It's a reunion of childhood pals!
......I was really surprised with Tifa.
...The town was quiet. Everyone must be staying in their houses, afraid to come out because of the monsters. No, maybe they're afraid of us...
We leave for the reactor at dawn. Make sure you get to sleep early."
233,"Sephiroth, NPC",8,"narration, action","All we need is one lookout, so you others, get some rest.
Oh, that's right... You may visit your family and friends.
I heard Sephiroth was coming and got my camera ready. I want a shot of Sephiroth and a monster.
I don't take pictures with nobodys.
All right... So big-headed...
Hey? This guy's a real...
You... Are you Cloud? Really? So that's how it is, huh? Gosh, Cloud, you've grown up to be a nice-looking lad.
Let's do this, Cloud. Let me take a picture of you with Sephiroth."
234,"NPC, Cloud , Barret , Cloud",8,"narration, action","OK, OK,...... So big-headed... You're just his assistant
Man... I'm so nervous.
Look, you never know when a monster's gonna show up, right?
...That's right. Don't blow your chance to become a hero...
Welcome. Hey? Aren't you...
...Have I come here before? ...I don't remember.
Now you're pissin' me off!! This don't matter, so get on with it!
This Mansion..."
235,"Cloud, Tifa's father, Cloud ",8,"narration, action","...No, I'll come here later.
Hmm? You from Shinra?
Geez... Big-headed young kid.
I'm the town's... ...... ......!? Aren't you Cloud? Don't you know me?
You're Tifa's...
Right. I'm Tifa's father.
...I want you to stay away from my daughter. We don't need the Shinra's help to protect our town!
This is...... my house. It has nothing to do with that incident five years ago."
236,"Barret , Aeris , Cloud , Cloud, Cloud's mom",8,"action, narration, dialogue","Yo wait, I wanna hear.
Me too! It's been a long time, right?
Tell us more! You saw your family, right?
Well I ain't gonna force ya...
I don't know if you could call it a 'family'...... My father... died when I was still very young. That's why my mom...... was living alone in this house.
Yeah, I saw my mom. My mom... she was a vibrant woman. Hadn't changed at all. But a few days later, she died... But when I saw her, she looked fine.
Uh...?
Ye----s?"
237,"Cloud's mom, Cloud",8,narration,"Cloud!? Welcome home, Cloud!
Hi, mom.
Come, come... Let me take a look at you!
Hmmm...... You look so handsome. So this is a SOLDIER uniform?
......Mom, I...
My, how you've grown. I'll bet the girls never leave you alone.
...Not really.
...I'm worried about you. There are a lot of temptations in the city... I'd feel a lot better if you just settled down and had a nice girlfriend."
238,"Cloud, Cloud's mom",8,narration,"...I'm all right.
You should have... an older girlfriend, one that'll take care of you. I think that would be the perfect type for you.
......I'm not interested.
Are you eating right?
I'm all right. The Company takes care of me.
Is that so? You can't cook, right? I was worried sick about how you were doing...
Cloud...?
You know, Cloud......"
239,"Cloud's mom, Cloud , Aeris , Tifa ",8,"narration, action","......isn't that right, Cloud?
I will always be your mother...
......Let's stop this......
Hey... I can't... remember much else. There's... nothing more to talk about.
That's all right, Cloud.
Cloud...? Did you go into my house?
I thought you might be home.
I remember you weren't there."
240,"Tifa , Cloud, On-screen, Cloud ",8,"action, narration, system","Cloud...? Did you go into my room?
Did you play my piano?
...Now how did this go?
It was Start button to finish.
I've heard this melody somewhere before. Managed to play well...
I can read sheet music too, you know...... Ummm, let's see......
Do... Re... Mi... Ti... La... Do... Re... Mi... So... Fa.. Do.. Re... Do... Forget...
The letter..."
241,"Tifa , Cloud , On-screen",8,"narration, dialogue, action, system","Did you read it? My letter?
Of course!
Do you remember what it said...?
Then, let's go on with the story about Sephiroth.
I read it... It was a letter addressed to Tifa from the son of the guy that runs the General Store...
Tifa, how are you? I just arrived in Midgar eight days ago. Yesterday, all of Nibelheim got together to welcome me. The only person that we couldn't get a hold of was Cloud. But everyone said he wasn't really that close to us. So even if we asked, he probably wouldn't have come anyway.
Well, enough about him. Midgar is really something. But to tell the truth, I feel so behind on everything... so out of it. Even the rooms of people in the slums are clean. Right now I'm living in the slums, but I plan to move to a really nice room, like the ones I've seen in magazines, once I make some money. ...but, to do that, I guess I have to find a job first.
That's right. I still haven't found a job yet. I lied to my parents and told them I found a great job with Shinra, Inc. I wonder if it's too late to go back. Sometimes I think I should've taken over my parents' store."
242,"Tifa , On-screen",8,"narration, action, system","Cloud... Do you remember all of it?
Then, let's go on with the story about Sephiroth.
Because there was some stuff about me...
I just made it here to Midgar but all I think about is Nibelheim. Hey, Tifa... Is that stupid old water tower still working? Is the old man at the Inn doing well? Are my parents still at the shop everyday? Have any monsters attacked? And most of all, how are you, Tifa? It feels like I haven't seen you for years.
We were all talking about you last night. Everyone likes you. But because everyone idolizes you, I couldn't very well stab them in the back. I always acted cool, but actually, I was just afraid of being jilted. Wow, if I keep writing like this, this'll become a love letter! So, I think I'll stop here. Take care. I'll write again. P.S. Write me back, okay?
Received ""Orthopedic Underwear!""
Cloud!!!
...Cloud. We're talking about something really important here."
243,"NPC 1, NPC 2, NPC 3",8,"narration, action","...Oh, you're with the Shinra? Welcome.
Oh, I'm sorry! It's you, Cloud! I didn't recognize you.
Shinra----?
Chinra---?
SOLDIER?
Saltza?
Are you going to kill the monsters?
......are you going to?"
244,"NPC 2, NPC 3, NPC 1, NPC",8,"narration, dialogue","He's soooo cool!!
Way cool!!
Cloud, you've grown to be a strong man.
........................
Do your best.
Do your best.
So, what do you need, Cloud?
Yeah, he's upstairs."
245,"NPC,  Zangan, Zangan, Cloud",8,"narration, action","It's all reserved for you Shinra people, so I don't mind. But, wouldn't you feel more comfortable staying at home?
Now about the town... A lot of monsters have been appearing in the last 12 months. Other than that, there's not much change. Nothing much exciting happens in a little town like this. It was all right when they were building the reactor.
...while they were still building it. But once it was completed, it's been bad.
Anyhow we've got to get rid of the monsters... Then, we'll all be able to relax a little bit.
......Hmmmm
Is Shinra here to get rid of the monsters?
And who are you?
I'm Zangan. I travel around the world teaching children martial arts. I have 128 students all over the world! In this town, a girl named Tifa is my student."
246,"Cloud, Zangan, Sephiroth, NPC",8,"dialogue, action, narration","Did you say Tifa?
Tifa has good sense. She'll be a powerful fighter.
I want to see some Shinra techniques. And if you see anything you can use, you might want to incorporate some of my techniques.
Well, good luck.
What are you looking at?
...This scenery...... I feel like I know this place.
We're short one bed...
........."
247,"Sephiroth, NPC 1, Tifa's father, NPC 2, NPC 3,  Sephiroth",8,"narration, action","...We have an early start tomorrow. You should get some sleep soon.
...I'm not going to wake you up tomorrow.
I've hired a guide to the Mako reactor. I've heard she's young, I hope we can rely on her...
Think they'd let me take a picture?
If I knew this was going to happen, I would've made mountain climbing off limits...
I was so nervous. I couldn't get any sleep...
...Late again.
Once the guide gets here, we're heading out."
248,"Tifa's father, Sephiroth, Tifa, Cloud",8,narration,"Listen to me, Sephiroth. In case something happens...
...Trust me.
I'll be all right, Dad! I have two men from SOLDIER with me.
I'm Tifa. Nice to meet you!
Tifa! You're the guide?
That's right. I just happen to be the number one guide in this town.
It's too dangerous! I can't involve you in something like this!
Then there's no problem if you protect her."
249,"Sephiroth, NPC, Cloud , Tifa's father, Zangan, Tifa",8,"action, dialogue, narration","...Let's go.
Ummm... Mr. Sephiroth! Please let me take one picture for a memento! Tifa, can you ask him for me too......?
Cheeeeese!
Great, thank you! I'll give each of you a copy once I get it developed!
A Mako Reactor was built in Mt. Nibel. The cold air of the mountains of Nibel. It was no different...
I hate myself for asking you this, but... Don't take your eyes off of Tifa! Hurry up and go back to her side!
Oh? Did you come crying home?
It gets harder from here! Follow me!"
250,"Tifa, Sephiroth, Cloud",8,"narration, action, dialogue","Uh... the bridge!!
Everyone seems to be all right. Can we get back to where we were?
These caves are intertwined, just like an ant farm... Oh, and Sephiroth... There seems to be one person missing...
It may sound cold, but we've got no time to search for him. We can't go back now, so we must go on. We'll travel together from here.
What's this?
A mysteriously colored cave...
It must be the Mako energy. This mountain is especially abundant in it. That's why the Mako Reactor was built here.
...And what's this?"
251,"Sephiroth, Tifa, Cloud",8,"narration, dialogue","A Mako fountain. It's a miracle of nature.
It's so beautiful...
If the Mako Reactor continues to suck up the energy, this fountain will dry up too...
Materia. When you condense Mako energy, materia is produced. It's very rare to be able to see materia in its natural state.
By the way... Why is it that when you use materia you can also use magic too?
You were in SOLDIER and didn't even know that? ...the knowledge and wisdom of the Ancients is held in the materia. Anyone with this knowledge can freely use the powers of the Land and the Planet. That knowledge interacts between ourselves and the planet calling up magic...... or so they say.
Magic...... a mysterious power...
Ha, ha, ha!"
252,"Cloud, Sephiroth, Tifa",8,"dialogue, narration, action","Did I say somethin' funny?
A man once told me never to use an unscientific term such as mysterious power! It shouldn't even be called 'magic'! I still remember how angry he was.
Who was that?
Hojo of Shinra, Inc. ... An inexperienced man assigned to take over the work of a great scientist. He was a walking mass of complexes.
A Mako fountain... So this is where the knowledge of the Ancients is.
We finally made it. We sure took the long way though.
Tifa, you wait here.
I'm going inside too! I wanna see!"
253,"Sephiroth, Tifa, Cloud",8,"narration, action, dialogue","Only authorized people are allowed in. This place is full of Shinra's industrial secrets.
But!
Take care of the lady.
Mm, man! Better take real good care of me then!
This is...... Jenova, right? The lock won't open...
This is the reason for the malfunction. This part is broken. Cloud, close the valve.
Why did it break...?
...now I see, Hojo. But, even doing this, will never put you on the same level as Professor Gast. This is a system that condenses and freezes the Mako energy... that is, when it's working correctly. Now... what does Mako energy become when it's further condensed?"
254,"Cloud, Sephiroth",8,"narration, dialogue","Uh, umm...... Oh yeah! It becomes a Materia.
Right, normally. But Hojo put something else in there. ...Take a look.
Look through the window.
Wh... what is this!?
Normal members of SOLDIER are humans that have been showered with Mako. You're different from the others, but still human. But, what are they? They've been exposed to a high degree of Mako, far more than you.
...is this some kind of monster?
Exactly. And it's Hojo of Shinra that produced these monsters. Mutated living organisms produced by Mako energy. That's what these monster's really are.
Normal members of SOLDIER? You mean you're different?"
255,"Cloud, Sephiroth, Cloud ",8,"narration, dialogue","H... hey, Sephiroth!
N... no...... ...Was I?
...Was I created this way too? Am I the same as all these monsters......
...Sephiroth.
You saw it! All of them... were humans...
Human!? No way!
...I've always felt since I was small... That I was different from the others. Special, in some way. But... not like this...
Am I...... human? I didn't quite understand what Sephiroth was saying at that time. I was even more surprised by the fact that Shinra was producing monsters."
256,"Cloud , Barret, Tifa, Red XIII, Aeris",8,"action, narration, dialogue","The next day, Cloud wakes late and runs out to join Sephiroth and the two soldiers at the start of the mountain path, just past the mansion. A few of the townsfolk are hanging around, too.
Damn, Shinra! The more I hear, the more I hate 'em!
......who would have ever thought the Mako Reactor held a secret like that.
That would seem to explain the increase in the number of monsters recently. I think we should listen carefully to Cloud. Don't you think so Barret?
Yeah, mebbe so. Wanna take a breather here?
......I get it.
Hmph! Pokin' his damn nose in where it don't belong. Cloud! Why don't you finish that story?
Tifa... You were waiting outside then?"
257,"Tifa, Cloud, NPC, Zangan",8,"narration, action, dialogue","......Yes.
We returned to Nibelheim. Sephiroth confined himself at the inn. He didn't even try to talk to me.
Then all of a sudden he just disappeared, right?
We found him inside the biggest building in Nibelheim.
The villagers used to call it Shinra mansion.
Long ago, people from Shinra used to live in that mansion...
What's Sephiroth doing?
There's nothing that'll harm the town, right?"
258,"Cloud, Zangan, Tifa's father, NPC, Sephiroth",8,"dialogue, narration, action","...Why do you ask?
The Shinra showed up to eliminate any information that could be an embarrassment to the company...
you pick these things up when you travel as much as I do.
It's Sephiroth. He would never do that.
...Oh my. You sure do have faith.
Until we know that there's no danger, we're not moving.
There's no sign of Sephiroth, but I know I saw him go into this room...
...an organism that was apparently dead, was found in a 2000 year old geological stratum. Professor Gast named that organism, Jenova..."
259,"Sephiroth, Cloud , NPC",8,"narration, dialogue, action","X Year, X Month, X Day. Jenova confirmed to be an Ancient... X Year, X Month, X Day. Jenova Project approved. The use of Mako Reactor 1 approved for use...
My mother's name is Jenova... Jenova Project... Is this just a coincidence?
Professor Gast... Why didn't you tell me anything? ...Why did you die?
Let me be alone.
Sephiroth didn't come out of the Shinra Mansion... He continued to read as if he were possessed by something, and not once, did the light in the basement go out...
Sephiroth seems different.
Ha, ha, ha......
Who is it!?"
260,"Sephiroth, Cloud",8,"narration, dialogue, action","Hmph... traitor.
Traitor?
You ignorant traitor. I'll tell you. This Planet originally belonged to the Cetra. Cetra was a itinerant race. They would migrate in, settle the Planet, then move on... At the end of their harsh, hard journey, they would find the Promised Land and supreme happiness.
But, those that disliked the journey appeared. Those who stopped their migrations built shelters and elected to lead an easier life. They took that which the Cetra and the planet had made without giving back one whit in return! Those are your ancestors.
Sephiroth...
Long ago, disaster struck this planet. Your ancestors escaped... They survived because they hid. The Planet was saved by sacrificing the Cetra. After that, your ancestors continued to increase. Now all that's left of the Cetra is in these reports.
What does that have to do with you?
Don't you get it? An Ancient named Jenova was found in the geological stratum of 2000 years ago. The Jenova Project."
261,"Sephiroth, Cloud, Zangan",8,"narration, action","The Jenova Project wanted to produce people with the powers of the Ancients...... no, the Cetra. ...I am the one that was produced.
Pr... produced!?
Yes. Professor Gast, leader of the Jenova Project and genius scientist, produced me.
How... how did he...?
Se... Sephiroth?
Out of my way. I'm going to see my mother.
He---y! Is anyone here?
Hey it's you! You're still sane, right?"
262,"Zangan, NPC, Cloud, Tifa, Sephiroth",8,"narration, action","Then come over here and help me! I'll check this house. You check that one over there!
...Hey, Ummm... Am I going to die?
...Sephi... roth
Terrible... Sephiroth... This is too terrible...
Papa... Sephiroth!?
Sephiroth did this to you, didn't he!?
Sephiroth... SOLDIER... Mako Reactors... Shinra... Everything! I hate them all!
Mother, I'm here to see you. Please, open this door."
263,"Tifa, Sephiroth, Cloud",8,"narration, action, dialogue","How could you do that to papa and all the townspeople?
...You promised... You promised that you'd come...... when I was in trouble...
Mother, let's take this planet back together. I've thought of a great idea. Let's go to the Promised Land.
Sephiroth... My family! My hometown! How could you do this to them!?
Ha, ha, ha...... They've come again, mother. With her superior power, knowledge, and magic, Mother was destined to become the ruler of this Planet.
But they... Those worthless creatures are stealing the planet from Mother
But now I'm here with you so don't worry
What about MY sadness!? My family... friends... The sadness of having my hometown taken away from me!? It's the same as your sadness!"
264,"Sephiroth, Cloud, Barret, Aeris",8,"dialogue, narration, action","Ha, ha, ha... my sadness? What do I have to be sad about? I am the chosen one. I have been chosen to be the leader of this Planet.
I have orders to take this planet back from you stupid people for the Cetra. What am I supposed to be sad about?
Sephiroth... I trusted you... No, you're not the Sephiroth I used to know!
......and that's the end of my story.
Wait a damn minute! Ain't there more?
......I don't remember.
What happened to Sephiroth?
In terms of skill, I couldn't have killed him."
265,"Tifa, Aeris, Cloud",8,"narration, dialogue","Official records state Sephiroth is dead. I read it in the newspaper.
Shinra, Inc. owns the paper, so you can't rely on that information.
......I want to know the truth. I want to know what happened then. I challenged Sephiroth and lived. Why didn't he kill me?
......I'm alive, too.
Seems like a lot of this doesn't make sense. What about Jenova? It was in the Shinra building, right?
Shinra shipped it from Nibelheim to Midgar.
Did someone else carry it out after that? It was missing from the Shinra building.
Sephiroth......?"
266,"Barret, Cloud",8,"action, narration","Damn! Don't none of this make sense! I'm going, going, going, gone! And I'm leavin' the thinkin' to you!
Yo, Cloud! Let's get a move on!
Cloud, what's wrong? You just gonna stand there while Sephiroth heads for the Promised Land? I ain't lettin' Sephiroth or Shinra get to no Promised Land. If they do, then we're all screwed. Y'know what I'm sayin'!
Y'all jes leave it to me!
Oh brother......
Fine! That's good enough.
Yo, c'mon let's go!
Oh brother......"
267,"Tifa, Cloud, Aeris, Red XIII, Barret",8,"narration, action, dialogue","......... Cloud...? How bad was I when Sephiroth cut me?
I thought you were a goner. ......I was really sad.
.........
I... The Ancients...... Cetra...... Jenova...... Sephiroth and myself......
Let's go. Barret's waiting.
What a fascinating story......
Yo, Cloud. Here.
Cloud. Take this."
268,"Tifa, On-screen, Aeris, RedXIII, Barret",8,"narration, system, action","Oh, Cloud. Let me give you this.
Received ""PHS""!
Access the menu and select . It can only be used on the World Map or at a Save Point.
With , I can see you any time!
Just use , and you can contact any one of us easy.
, will put us in constant contact with each other.
Awright then, we're outta here.
Well, I'll be going."
269,"Tifa, Choco Bill, Chole, Choco Billy",8,"action, narration","I'm going on ahead.
Thinking of crossing the marshes?
Hmm, then it'll probably be safer for you to get a Chocobo. That way you can zip through the marshes with the Chocobo. It's the only way to avoid being attacked by the Midgar Zolom.
Midgar Zolom...? It's a serpent-like creature over 30 feet tall!! It picks up on footsteps that enter the marshes... And then, BAM!! It attacks!!!
To avoid that, buy a Chocobo at the Choco Bill & Choco Billy Chocobo Farm. To purchase a Chocobo, please talk to my grandson. He's in the Chocobo stables at the far right end of the farm. By the way, there was another person heading towards the Marshes. Without a Chocobo, the Midgar Zolom probably got him. It was a man in a Black Cape.
Hmm, then, I guess that's that.
Welcome.
Do you want a Chocobo?"
270,"Cloud, Choco Billy",8,"narration, action, dialogue","Mmm......
You old folks are out of luck!
Old folks...?
We're all out of Chocobos. I'm taking care of those ones out there for someone else. You know, if you really want a Chocobo, you should go out and catch one.
Want to know how to catch a Chocobo?
You see those claw prints out there? Wild Chocobo's will appear in those areas. But, if you don't have 'Chocobo Lure' they won't come out. They very cautious animals by nature.
Chocobo Lure' is a type of materia which attracts Chocobos. If you equip this, they'll come to you. But, without it, they won't appear.
A wild Chocobo always appears with other monsters. But, you won't be able to catch it because of the monsters. That is why you must defeat the monsters first before you catch the Chocobo."
271,"Choco Billy, Chole, Cloud",8,"action, dialogue, narration","Also, wild Chocobos are really cautious. They'll run away from the slightest things. But, if you use 'Greens' They'll focus on that, and won't run away.
Whatever you do, don't make Chocobos angry. They're usually calm, but if you get them angry, you'll get hurt. Oh, and remember, once you get off a Chocobo, it'll escape.
Well then, shall we get down to business? I'll sell you the 'Chocobo Lure' for 2000 gil, right now. You want it?
Thanks! It wouldn't hurt to buy some 'Greens' either. Oh, and how fast a Chocobo'll finish eating depends of what type of 'Greens' you feed them.
Mmmm, if you don't have it, you'll never catch one.
Oh, I'm so glad!
Wasn't it really expensive? But don't be mad at my brother or Grandpa. Ever since dad and mom died, it's been like this...
Did Sephiroth... do this......?"
272,"Barret, Aeris, Tifa, RedXIII, Rude",8,"dialogue, narration","This Sephiroth guy's pretty strong, I'd say.
Our enemy is someone that could do this...?
Amazing...
It's a power that we should respect...
Just a second!
Wh, who are you!?
By any chance, are you...?
Who are you?"
273,"RedXIII, Rude, Cloud",8,"narration, dialogue","...... I hoped I'd never see you again...
Do you know who I am?
Well if you know, then this won't take long.
......I'm from the Turks. And don't you ever forget it.
It's difficult to explain what the Turks do...
Kidnapping, right?
To put it negatively... you could say that. ...But, that's not all there is to it, anymore.
............"
274,"Rude, Elena, Tseng",8,"narration, action","............
Sir! It's all right, Rude! I know you don't like speeches, so don't force it!
...Then Elena, explain.
I'm the newest member of the Turks, Elena. Thanks to what you did to Reno, we're short of people. ...Although, because of that, I got promoted to the Turks, ...
In any case, our job is to find out where Sephiroth is headed. And to try and stop you every step of the way.
Wait a minute, it's the other way around... You're the ones that are getting in our way.
...Elena. You talk too much.
Mr. Tseng!?"
275,"Tseng, Elena, Rude & Elena",8,"dialogue, narration, action","No need to tell them about our orders.
Sorry... Tseng.
I thought I gave you other orders. Now go. Don't forget to file your report.
Oh! Right! Very well, Rude and I will go after Sephiroth, who's heading for Junon Harbor!
...Elena. You don't seem to understand.
Oh! I'm, I'm sorry...
...Go. Don't let Sephiroth get away.
Yes sir!"
276,"Rude, Tseng, Aeris",8,"narration, action, dialogue","...Reno said he wanted to see you after the injuries you gave him healed. He wants to show his affection for you all... with a new weapon.
Well, then...
Aeris... Long time no see. Looks like you got away from the Shinra for a while, now that Sephiroth reappeared.
...so what are you saying? That I should be grateful to Sephiroth?
No... Well, I won't be seeing too much of you, so take care.
...strange, hearing that from you.
Well then, stay out of Shinra's way.
...Where's Aeris? She's not with you?"
277,"Cloud, Tseng, NPC, Priscilla, Barret, Tifa",8,"narration, action, dialogue","Aeris isn't with us. She's with the others.
Oh... Then give her my regards.
What happened to this town? It's so run-down...
HEY! This is Shinra, Inc.'s elevator. Don't be snooping around here!!
He-y! Mr. Dolphin! My name is...... Pri-scil-la! Now you say it.
Who are you guys? Are you members of the Shinra, Inc.?
No! You got it all wrong! We're fighting against the Shinra!
No...stay calm..."
278,"Aeris, RedXIII, Yuffie, Cloud, Priscilla, Barret, Tifa",8,narration,"No you're wrong! We have nothing to do with the Shinra.
...we don't get along well with the Shinra.
Hey watch your mouth! We hate the Shinra!
...that's how it is.
I don't believe you! Get out of here!
Great...
Hey! Look at that!
Look at that!"
279,"Aeris, RedXIII, Yuffie, Priscilla, Cloud,  Cloud, NPC",8,"dialogue, narration","What's that!?
Hey! It's a monster!
Whoa, Gawd!
Be careful Mr.Dolphin!
Hey! Hold on, we're coming!
This is bad... You don't think she's dead, do you?
Priscilla!!
Nope...she's not breathing..."
280,"NPC, Cloud, Barret, Tifa, Aeris, RedXIII, Yuffie",8,"narration, action","Hey, that's it! Young man, CPR, now!
Mouth to mouth!?
C'mon Cloud.
Cloud, what are you going to do?
Cloud, hurry!
You know I can't.
Do it, Cloud!
But,... she's just a girl......"
281,"NPC, Cloud, On-screen, Priscilla",8,"dialogue, action, narration, system","What? You don't know how? Come over here, I'll show you.
Guess I gotta do it...
Just take a deep breath, hold it in. Then breathe into her.
Hurry up and do it!
Push the
Uh...ugh...
Hey hey! Priscilla, are you alright?
Hey, come in for a while."
282,"NPC, Tifa, Barret, Aeris, RedXIII, Yuffie",8,"dialogue, narration, action","I heard what happened. You've done so much for Priscilla.
You all must be tired. If you want to get some rest, stay here.
Make yourselves at home.
Take a rest?
I'm gonna relax for a while.
Want to rest?
Shall we rest?
Wanna rest?"
283,"Cloud, Grey text",8,"narration, action","Yeah...
Hmmm...
...That reminds me
You again? ...Who are you?
...You'll find out soon. ......But more importantly, 5 years ago...
5 Years ago...Nibelheim?
When you went to Mt. Nibel then, Tifa was your guide, right?
Yeah...I was surprised."
284,"Grey text, Cloud",8,"narration, dialogue","But where was Tifa other than that?
...I dunno.
It was a great chance for you two to see each other again.
...You're right.
Why couldn't you see each other alone?
...I don't know. I can't remember clearly...
Why don't you try asking Tifa?
...Yeah."
285,"Grey text, Tifa, Cloud, Aeris",8,"narration, action","Then, get up!
Hey wake up. Wake up, Cloud!
Tifa... When Sephiroth and I went to Nibelheim, where were you?
...We saw each other, right?
The other time.
No...it was 5 years ago. I don't remember. But, something seems strange outside. Cloud, come quick.
Doesn't it seem a little strange? Everything getting so noisy all of a sudden...?
I heard that girl regained consciousness."
286,"Barret, RedXIII, Yuffie, Cloud, Priscilla",8,"action, narration, dialogue","Seems like something's goin' on up there!
Does this have something to do with the Shinra?
What's this loud music? It's giving me a headache!
Are you all right now?
Umm...thanks for helping...
I'm sorry , I mistook you for one of those Shinra, Inc....
That's all right.
I'll give you something SPECIAL!"
287,"Priscilla, On-screen, Barret, Aeris",8,"action, system, narration, dialogue","It's an amulet. Take good care of it, ok?
Received ""Shiva"" Materia!
It's at my house, so come by later to pick it up, ok?
What's that music? It sure sounds lively.
I heard they're rehearsing the reception for the new Shinra president.
Rufus!? I gotta pay my respects.
Grandpa and grandma told me this beach was beautiful when they were small. But after the Shinra built that city above, the sun stopped shining here, and the water got polluted... I was raised on that story and hate Shinra so much, I could die!
You think Rufus is thinking about crossing the ocean from here, too? What? Does that mean Sephiroth already crossed the ocean?"
