Character,dialogue,narrative_type
On-screen,It was Start button to finish.,system
Cloud,I've heard this melody somewhere before. Managed to play well...,narration
Cloud,"I can read sheet music too, you know...... Ummm, let's see......",narration
Cloud,Do... Re... Mi... Ti... La... Do... Re... Mi... So... Fa.. Do.. Re... Do... Forget...,narration
Cloud ,The letter...,narration
Tifa ,Did you read it? My letter?,narration
Tifa ,Of course!,narration
Tifa ,Do you remember what it said...?,dialogue
Tifa ,"Then, let's go on with the story about Sephiroth.",action
Cloud ,I read it... It was a letter addressed to Tifa from the son of the guy that runs the General Store...,action
On-screen,"Tifa, how are you? I just arrived in Midgar eight days ago. Yesterday, all of Nibelheim got together to welcome me. The only person that we couldn't get a hold of was Cloud. But everyone said he wasn't really that close to us. So even if we asked, he probably wouldn't have come anyway.",system
On-screen,"Well, enough about him. Midgar is really something. But to tell the truth, I feel so behind on everything... so out of it. Even the rooms of people in the slums are clean. Right now I'm living in the slums, but I plan to move to a really nice room, like the ones I've seen in magazines, once I make some money. ...but, to do that, I guess I have to find a job first.",system
On-screen,"That's right. I still haven't found a job yet. I lied to my parents and told them I found a great job with Shinra, Inc. I wonder if it's too late to go back. Sometimes I think I should've taken over my parents' store.",system
Tifa ,Cloud... Do you remember all of it?,narration
Tifa ,"Then, let's go on with the story about Sephiroth.",action
Tifa ,Because there was some stuff about me...,narration
On-screen,"I just made it here to Midgar but all I think about is Nibelheim. Hey, Tifa... Is that stupid old water tower still working? Is the old man at the Inn doing well? Are my parents still at the shop everyday? Have any monsters attacked? And most of all, how are you, Tifa? It feels like I haven't seen you for years.",system
On-screen,"We were all talking about you last night. Everyone likes you. But because everyone idolizes you, I couldn't very well stab them in the back. I always acted cool, but actually, I was just afraid of being jilted. Wow, if I keep writing like this, this'll become a love letter! So, I think I'll stop here. Take care. I'll write again. P.S. Write me back, okay?",system
On-screen,"Received ""Orthopedic Underwear!""",system
Tifa ,Cloud!!!,narration
Tifa ,...Cloud. We're talking about something really important here.,narration
NPC 1,"...Oh, you're with the Shinra? Welcome.",narration
NPC 1,"Oh, I'm sorry! It's you, Cloud! I didn't recognize you.",narration
NPC 2,Shinra----?,narration
NPC 3,Chinra---?,narration
NPC 2,SOLDIER?,narration
NPC 3,Saltza?,narration
NPC 2,Are you going to kill the monsters?,action
NPC 3,......are you going to?,action
NPC 2,He's soooo cool!!,narration
NPC 3,Way cool!!,narration
NPC 1,"Cloud, you've grown to be a strong man.",narration
NPC 3,........................,narration
NPC 2,Do your best.,narration
NPC 3,Do your best.,narration
NPC,"So, what do you need, Cloud?",dialogue
NPC,"Yeah, he's upstairs.",narration
NPC,"It's all reserved for you Shinra people, so I don't mind. But, wouldn't you feel more comfortable staying at home?",narration
NPC,"Now about the town... A lot of monsters have been appearing in the last 12 months. Other than that, there's not much change. Nothing much exciting happens in a little town like this. It was all right when they were building the reactor.",narration
NPC,"...while they were still building it. But once it was completed, it's been bad.",narration
NPC,"Anyhow we've got to get rid of the monsters... Then, we'll all be able to relax a little bit.",action
 Zangan,......Hmmmm,narration
Zangan,Is Shinra here to get rid of the monsters?,narration
Cloud,And who are you?,narration
Zangan,"I'm Zangan. I travel around the world teaching children martial arts. I have 128 students all over the world! In this town, a girl named Tifa is my student.",narration
Cloud,Did you say Tifa?,dialogue
Zangan,Tifa has good sense. She'll be a powerful fighter.,action
Zangan,"I want to see some Shinra techniques. And if you see anything you can use, you might want to incorporate some of my techniques.",narration
Zangan,"Well, good luck.",action
Cloud,What are you looking at?,dialogue
Sephiroth,...This scenery...... I feel like I know this place.,narration
NPC,We're short one bed...,narration
Sephiroth,.........,narration
Sephiroth,...We have an early start tomorrow. You should get some sleep soon.,narration
Sephiroth,...I'm not going to wake you up tomorrow.,action
Sephiroth,"I've hired a guide to the Mako reactor. I've heard she's young, I hope we can rely on her...",narration
NPC 1,Think they'd let me take a picture?,narration
Tifa's father,"If I knew this was going to happen, I would've made mountain climbing off limits...",action
NPC 2,I was so nervous. I couldn't get any sleep...,narration
NPC 3,...Late again.,narration
 Sephiroth,"Once the guide gets here, we're heading out.",narration
Tifa's father,"Listen to me, Sephiroth. In case something happens...",narration
Sephiroth,...Trust me.,narration
Tifa,"I'll be all right, Dad! I have two men from SOLDIER with me.",narration
Tifa,I'm Tifa. Nice to meet you!,narration
Cloud,Tifa! You're the guide?,narration
Tifa,That's right. I just happen to be the number one guide in this town.,narration
Cloud,It's too dangerous! I can't involve you in something like this!,narration
Sephiroth,Then there's no problem if you protect her.,narration
Sephiroth,...Let's go.,action
NPC,"Ummm... Mr. Sephiroth! Please let me take one picture for a memento! Tifa, can you ask him for me too......?",dialogue
NPC,Cheeeeese!,narration
NPC,"Great, thank you! I'll give each of you a copy once I get it developed!",narration
Cloud ,A Mako Reactor was built in Mt. Nibel. The cold air of the mountains of Nibel. It was no different...,narration
Tifa's father,"I hate myself for asking you this, but... Don't take your eyes off of Tifa! Hurry up and go back to her side!",action
Zangan,Oh? Did you come crying home?,narration
Tifa,It gets harder from here! Follow me!,action
Tifa,Uh... the bridge!!,narration
Sephiroth,Everyone seems to be all right. Can we get back to where we were?,narration
Tifa,"These caves are intertwined, just like an ant farm... Oh, and Sephiroth... There seems to be one person missing...",narration
Sephiroth,"It may sound cold, but we've got no time to search for him. We can't go back now, so we must go on. We'll travel together from here.",action
Cloud,What's this?,dialogue
Tifa,A mysteriously colored cave...,narration
Sephiroth,It must be the Mako energy. This mountain is especially abundant in it. That's why the Mako Reactor was built here.,dialogue
Cloud,...And what's this?,dialogue
Sephiroth,A Mako fountain. It's a miracle of nature.,narration
Tifa,It's so beautiful...,narration
Tifa,"If the Mako Reactor continues to suck up the energy, this fountain will dry up too...",narration
Sephiroth,"Materia. When you condense Mako energy, materia is produced. It's very rare to be able to see materia in its natural state.",narration
Cloud,By the way... Why is it that when you use materia you can also use magic too?,dialogue
Sephiroth,You were in SOLDIER and didn't even know that? ...the knowledge and wisdom of the Ancients is held in the materia. Anyone with this knowledge can freely use the powers of the Land and the Planet. That knowledge interacts between ourselves and the planet calling up magic...... or so they say.,dialogue
Cloud,Magic...... a mysterious power...,narration
Sephiroth,"Ha, ha, ha!",narration
Cloud,Did I say somethin' funny?,dialogue
Sephiroth,A man once told me never to use an unscientific term such as mysterious power! It shouldn't even be called 'magic'! I still remember how angry he was.,narration
Cloud,Who was that?,narration
Sephiroth,"Hojo of Shinra, Inc. ... An inexperienced man assigned to take over the work of a great scientist. He was a walking mass of complexes.",narration
Tifa,A Mako fountain... So this is where the knowledge of the Ancients is.,narration
Tifa,We finally made it. We sure took the long way though.,narration
Cloud,"Tifa, you wait here.",action
Tifa,I'm going inside too! I wanna see!,action
Sephiroth,Only authorized people are allowed in. This place is full of Shinra's industrial secrets.,narration
Tifa,But!,narration
Sephiroth,Take care of the lady.,narration
Tifa,"Mm, man! Better take real good care of me then!",action
Cloud,"This is...... Jenova, right? The lock won't open...",action
Sephiroth,"This is the reason for the malfunction. This part is broken. Cloud, close the valve.",narration
Sephiroth,Why did it break...?,dialogue
Sephiroth,"...now I see, Hojo. But, even doing this, will never put you on the same level as Professor Gast. This is a system that condenses and freezes the Mako energy... that is, when it's working correctly. Now... what does Mako energy become when it's further condensed?",dialogue
Cloud,"Uh, umm...... Oh yeah! It becomes a Materia.",narration
Sephiroth,"Right, normally. But Hojo put something else in there. ...Take a look.",narration
Sephiroth,Look through the window.,narration
Cloud,Wh... what is this!?,dialogue
Sephiroth,"Normal members of SOLDIER are humans that have been showered with Mako. You're different from the others, but still human. But, what are they? They've been exposed to a high degree of Mako, far more than you.",dialogue
Cloud,...is this some kind of monster?,narration
Sephiroth,Exactly. And it's Hojo of Shinra that produced these monsters. Mutated living organisms produced by Mako energy. That's what these monster's really are.,dialogue
Cloud,Normal members of SOLDIER? You mean you're different?,narration
Cloud,"H... hey, Sephiroth!",narration
Sephiroth,N... no...... ...Was I?,narration
Sephiroth,...Was I created this way too? Am I the same as all these monsters......,narration
Cloud,...Sephiroth.,narration
Sephiroth,You saw it! All of them... were humans...,narration
Cloud,Human!? No way!,narration
Sephiroth,"...I've always felt since I was small... That I was different from the others. Special, in some way. But... not like this...",narration
Cloud ,Am I...... human? I didn't quite understand what Sephiroth was saying at that time. I was even more surprised by the fact that Shinra was producing monsters.,dialogue
Cloud ,"The next day, Cloud wakes late and runs out to join Sephiroth and the two soldiers at the start of the mountain path, just past the mansion. A few of the townsfolk are hanging around, too.",action
Barret,"Damn, Shinra! The more I hear, the more I hate 'em!",narration
Tifa,......who would have ever thought the Mako Reactor held a secret like that.,narration
Red XIII,That would seem to explain the increase in the number of monsters recently. I think we should listen carefully to Cloud. Don't you think so Barret?,narration
Barret,"Yeah, mebbe so. Wanna take a breather here?",narration
Barret,......I get it.,narration
Barret,Hmph! Pokin' his damn nose in where it don't belong. Cloud! Why don't you finish that story?,dialogue
Aeris,Tifa... You were waiting outside then?,action
Tifa,......Yes.,narration
Cloud,We returned to Nibelheim. Sephiroth confined himself at the inn. He didn't even try to talk to me.,narration
Tifa,"Then all of a sudden he just disappeared, right?",narration
Cloud,We found him inside the biggest building in Nibelheim.,narration
Tifa,The villagers used to call it Shinra mansion.,narration
Cloud,"Long ago, people from Shinra used to live in that mansion...",action
NPC,What's Sephiroth doing?,dialogue
Zangan,"There's nothing that'll harm the town, right?",narration
Cloud,...Why do you ask?,dialogue
Zangan,The Shinra showed up to eliminate any information that could be an embarrassment to the company...,narration
Zangan,you pick these things up when you travel as much as I do.,narration
Cloud,It's Sephiroth. He would never do that.,narration
Zangan,...Oh my. You sure do have faith.,narration
Tifa's father,"Until we know that there's no danger, we're not moving.",narration
NPC,"There's no sign of Sephiroth, but I know I saw him go into this room...",action
Sephiroth,"...an organism that was apparently dead, was found in a 2000 year old geological stratum. Professor Gast named that organism, Jenova...",narration
Sephiroth,"X Year, X Month, X Day. Jenova confirmed to be an Ancient... X Year, X Month, X Day. Jenova Project approved. The use of Mako Reactor 1 approved for use...",narration
Sephiroth,My mother's name is Jenova... Jenova Project... Is this just a coincidence?,narration
Sephiroth,Professor Gast... Why didn't you tell me anything? ...Why did you die?,dialogue
Sephiroth,Let me be alone.,narration
Cloud ,"Sephiroth didn't come out of the Shinra Mansion... He continued to read as if he were possessed by something, and not once, did the light in the basement go out...",action
NPC,Sephiroth seems different.,narration
Sephiroth,"Ha, ha, ha......",narration
Sephiroth,Who is it!?,narration
Sephiroth,Hmph... traitor.,narration
Cloud,Traitor?,narration
Sephiroth,"You ignorant traitor. I'll tell you. This Planet originally belonged to the Cetra. Cetra was a itinerant race. They would migrate in, settle the Planet, then move on... At the end of their harsh, hard journey, they would find the Promised Land and supreme happiness.",dialogue
Sephiroth,"But, those that disliked the journey appeared. Those who stopped their migrations built shelters and elected to lead an easier life. They took that which the Cetra and the planet had made without giving back one whit in return! Those are your ancestors.",narration
Cloud,Sephiroth...,narration
Sephiroth,"Long ago, disaster struck this planet. Your ancestors escaped... They survived because they hid. The Planet was saved by sacrificing the Cetra. After that, your ancestors continued to increase. Now all that's left of the Cetra is in these reports.",action
Cloud,What does that have to do with you?,dialogue
Sephiroth,Don't you get it? An Ancient named Jenova was found in the geological stratum of 2000 years ago. The Jenova Project.,action
Sephiroth,"The Jenova Project wanted to produce people with the powers of the Ancients...... no, the Cetra. ...I am the one that was produced.",narration
Cloud,Pr... produced!?,narration
Sephiroth,"Yes. Professor Gast, leader of the Jenova Project and genius scientist, produced me.",narration
Cloud,How... how did he...?,narration
Cloud,Se... Sephiroth?,narration
Sephiroth,Out of my way. I'm going to see my mother.,action
Zangan,He---y! Is anyone here?,narration
Zangan,"Hey it's you! You're still sane, right?",narration
Zangan,Then come over here and help me! I'll check this house. You check that one over there!,narration
NPC,"...Hey, Ummm... Am I going to die?",action
NPC,...Sephi... roth,narration
Cloud,Terrible... Sephiroth... This is too terrible...,narration
Tifa,Papa... Sephiroth!?,narration
Tifa,"Sephiroth did this to you, didn't he!?",narration
Tifa,Sephiroth... SOLDIER... Mako Reactors... Shinra... Everything! I hate them all!,narration
Sephiroth,"Mother, I'm here to see you. Please, open this door.",action
Tifa,How could you do that to papa and all the townspeople?,narration
Tifa,...You promised... You promised that you'd come...... when I was in trouble...,narration
Sephiroth,"Mother, let's take this planet back together. I've thought of a great idea. Let's go to the Promised Land.",action
Cloud,Sephiroth... My family! My hometown! How could you do this to them!?,narration
Sephiroth,"Ha, ha, ha...... They've come again, mother. With her superior power, knowledge, and magic, Mother was destined to become the ruler of this Planet.",narration
Sephiroth,But they... Those worthless creatures are stealing the planet from Mother,narration
Sephiroth,But now I'm here with you so don't worry,narration
Cloud,What about MY sadness!? My family... friends... The sadness of having my hometown taken away from me!? It's the same as your sadness!,dialogue
Sephiroth,"Ha, ha, ha... my sadness? What do I have to be sad about? I am the chosen one. I have been chosen to be the leader of this Planet.",dialogue
Sephiroth,I have orders to take this planet back from you stupid people for the Cetra. What am I supposed to be sad about?,dialogue
Cloud,"Sephiroth... I trusted you... No, you're not the Sephiroth I used to know!",narration
Cloud,......and that's the end of my story.,narration
Barret,Wait a damn minute! Ain't there more?,action
Cloud,......I don't remember.,narration
Aeris,What happened to Sephiroth?,dialogue
Cloud,"In terms of skill, I couldn't have killed him.",narration
Tifa,Official records state Sephiroth is dead. I read it in the newspaper.,narration
Aeris,"Shinra, Inc. owns the paper, so you can't rely on that information.",narration
Cloud,......I want to know the truth. I want to know what happened then. I challenged Sephiroth and lived. Why didn't he kill me?,dialogue
Tifa,"......I'm alive, too.",narration
Aeris,"Seems like a lot of this doesn't make sense. What about Jenova? It was in the Shinra building, right?",dialogue
Cloud,Shinra shipped it from Nibelheim to Midgar.,narration
Aeris,Did someone else carry it out after that? It was missing from the Shinra building.,narration
Tifa,Sephiroth......?,narration
Barret,"Damn! Don't none of this make sense! I'm going, going, going, gone! And I'm leavin' the thinkin' to you!",action
Barret,"Yo, Cloud! Let's get a move on!",narration
Barret,"Cloud, what's wrong? You just gonna stand there while Sephiroth heads for the Promised Land? I ain't lettin' Sephiroth or Shinra get to no Promised Land. If they do, then we're all screwed. Y'know what I'm sayin'!",action
Barret,Y'all jes leave it to me!,narration
Cloud,Oh brother......,narration
Barret,Fine! That's good enough.,action
Barret,"Yo, c'mon let's go!",action
Cloud,Oh brother......,narration
Tifa,......... Cloud...? How bad was I when Sephiroth cut me?,narration
Cloud,I thought you were a goner. ......I was really sad.,action
Tifa,.........,narration
Aeris,I... The Ancients...... Cetra...... Jenova...... Sephiroth and myself......,narration
Tifa,Let's go. Barret's waiting.,action
Red XIII,What a fascinating story......,dialogue
Barret,"Yo, Cloud. Here.",narration
Aeris,Cloud. Take this.,narration
Tifa,"Oh, Cloud. Let me give you this.",narration
On-screen,"Received ""PHS""!",system
On-screen,Access the menu and select . It can only be used on the World Map or at a Save Point.,system
Aeris,"With , I can see you any time!",narration
Tifa,"Just use , and you can contact any one of us easy.",narration
RedXIII,", will put us in constant contact with each other.",narration
Barret,"Awright then, we're outta here.",narration
Aeris,"Well, I'll be going.",action
Tifa,I'm going on ahead.,action
Choco Bill,Thinking of crossing the marshes?,narration
Choco Bill,"Hmm, then it'll probably be safer for you to get a Chocobo. That way you can zip through the marshes with the Chocobo. It's the only way to avoid being attacked by the Midgar Zolom.",narration
Choco Bill,"Midgar Zolom...? It's a serpent-like creature over 30 feet tall!! It picks up on footsteps that enter the marshes... And then, BAM!! It attacks!!!",action
Choco Bill,"To avoid that, buy a Chocobo at the Choco Bill & Choco Billy Chocobo Farm. To purchase a Chocobo, please talk to my grandson. He's in the Chocobo stables at the far right end of the farm. By the way, there was another person heading towards the Marshes. Without a Chocobo, the Midgar Zolom probably got him. It was a man in a Black Cape.",action
Choco Bill,"Hmm, then, I guess that's that.",narration
Chole,Welcome.,narration
Choco Billy,Do you want a Chocobo?,narration
Cloud,Mmm......,narration
Choco Billy,You old folks are out of luck!,narration
Cloud,Old folks...?,narration
Choco Billy,"We're all out of Chocobos. I'm taking care of those ones out there for someone else. You know, if you really want a Chocobo, you should go out and catch one.",action
Choco Billy,Want to know how to catch a Chocobo?,narration
Choco Billy,"You see those claw prints out there? Wild Chocobo's will appear in those areas. But, if you don't have 'Chocobo Lure' they won't come out. They very cautious animals by nature.",narration
Choco Billy,"Chocobo Lure' is a type of materia which attracts Chocobos. If you equip this, they'll come to you. But, without it, they won't appear.",narration
Choco Billy,"A wild Chocobo always appears with other monsters. But, you won't be able to catch it because of the monsters. That is why you must defeat the monsters first before you catch the Chocobo.",dialogue
Choco Billy,"Also, wild Chocobos are really cautious. They'll run away from the slightest things. But, if you use 'Greens' They'll focus on that, and won't run away.",action
Choco Billy,"Whatever you do, don't make Chocobos angry. They're usually calm, but if you get them angry, you'll get hurt. Oh, and remember, once you get off a Chocobo, it'll escape.",dialogue
Choco Billy,"Well then, shall we get down to business? I'll sell you the 'Chocobo Lure' for 2000 gil, right now. You want it?",narration
Choco Billy,"Thanks! It wouldn't hurt to buy some 'Greens' either. Oh, and how fast a Chocobo'll finish eating depends of what type of 'Greens' you feed them.",dialogue
Choco Billy,"Mmmm, if you don't have it, you'll never catch one.",narration
Choco Billy,"Oh, I'm so glad!",narration
Chole,"Wasn't it really expensive? But don't be mad at my brother or Grandpa. Ever since dad and mom died, it's been like this...",narration
Cloud,Did Sephiroth... do this......?,narration
Barret,"This Sephiroth guy's pretty strong, I'd say.",dialogue
Aeris,Our enemy is someone that could do this...?,narration
Tifa,Amazing...,narration
RedXIII,It's a power that we should respect...,narration
Rude,Just a second!,narration
Barret,"Wh, who are you!?",narration
Aeris,"By any chance, are you...?",narration
Tifa,Who are you?,narration
RedXIII,...... I hoped I'd never see you again...,narration
Rude,Do you know who I am?,narration
Rude,"Well if you know, then this won't take long.",narration
Rude,......I'm from the Turks. And don't you ever forget it.,narration
Rude,It's difficult to explain what the Turks do...,dialogue
Cloud,"Kidnapping, right?",narration
Rude,"To put it negatively... you could say that. ...But, that's not all there is to it, anymore.",dialogue
Rude,............,narration
Rude,............,narration
Elena,"Sir! It's all right, Rude! I know you don't like speeches, so don't force it!",narration
Rude,"...Then Elena, explain.",narration
Elena,"I'm the newest member of the Turks, Elena. Thanks to what you did to Reno, we're short of people. ...Although, because of that, I got promoted to the Turks, ...",action
Elena,"In any case, our job is to find out where Sephiroth is headed. And to try and stop you every step of the way.",narration
Elena,"Wait a minute, it's the other way around... You're the ones that are getting in our way.",action
Tseng,...Elena. You talk too much.,narration
Elena,Mr. Tseng!?,narration
Tseng,No need to tell them about our orders.,dialogue
Elena,Sorry... Tseng.,narration
Tseng,I thought I gave you other orders. Now go. Don't forget to file your report.,action
Elena,"Oh! Right! Very well, Rude and I will go after Sephiroth, who's heading for Junon Harbor!",action
Tseng,...Elena. You don't seem to understand.,narration
Elena,"Oh! I'm, I'm sorry...",narration
Tseng,...Go. Don't let Sephiroth get away.,action
Rude & Elena,Yes sir!,narration
Rude,...Reno said he wanted to see you after the injuries you gave him healed. He wants to show his affection for you all... with a new weapon.,narration
Tseng,"Well, then...",narration
Tseng,"Aeris... Long time no see. Looks like you got away from the Shinra for a while, now that Sephiroth reappeared.",action
Aeris,...so what are you saying? That I should be grateful to Sephiroth?,dialogue
Tseng,"No... Well, I won't be seeing too much of you, so take care.",narration
Aeris,"...strange, hearing that from you.",narration
Tseng,"Well then, stay out of Shinra's way.",narration
Tseng,...Where's Aeris? She's not with you?,narration
Cloud,Aeris isn't with us. She's with the others.,narration
Tseng,Oh... Then give her my regards.,narration
Cloud,What happened to this town? It's so run-down...,action
NPC,"HEY! This is Shinra, Inc.'s elevator. Don't be snooping around here!!",narration
Priscilla,He-y! Mr. Dolphin! My name is...... Pri-scil-la! Now you say it.,dialogue
Priscilla,"Who are you guys? Are you members of the Shinra, Inc.?",narration
Barret,No! You got it all wrong! We're fighting against the Shinra!,action
Tifa,No...stay calm...,narration
Aeris,No you're wrong! We have nothing to do with the Shinra.,narration
RedXIII,...we don't get along well with the Shinra.,narration
Yuffie,Hey watch your mouth! We hate the Shinra!,narration
Cloud,...that's how it is.,narration
Priscilla,I don't believe you! Get out of here!,narration
Cloud,Great...,narration
Barret,Hey! Look at that!,narration
Tifa,Look at that!,narration
Aeris,What's that!?,dialogue
RedXIII,Hey! It's a monster!,narration
Yuffie,"Whoa, Gawd!",narration
Priscilla,Be careful Mr.Dolphin!,narration
Cloud,"Hey! Hold on, we're coming!",narration
 Cloud,"This is bad... You don't think she's dead, do you?",narration
NPC,Priscilla!!,narration
NPC,Nope...she's not breathing...,narration
NPC,"Hey, that's it! Young man, CPR, now!",narration
Cloud,Mouth to mouth!?,narration
Barret,C'mon Cloud.,narration
Tifa,"Cloud, what are you going to do?",action
Aeris,"Cloud, hurry!",narration
RedXIII,You know I can't.,narration
Yuffie,"Do it, Cloud!",narration
Cloud,"But,... she's just a girl......",narration
NPC,"What? You don't know how? Come over here, I'll show you.",dialogue
Cloud,Guess I gotta do it...,action
NPC,"Just take a deep breath, hold it in. Then breathe into her.",narration
NPC,Hurry up and do it!,narration
On-screen,Push the,system
Priscilla,Uh...ugh...,narration
NPC,"Hey hey! Priscilla, are you alright?",narration
NPC,"Hey, come in for a while.",narration
NPC,I heard what happened. You've done so much for Priscilla.,dialogue
NPC,"You all must be tired. If you want to get some rest, stay here.",narration
NPC,Make yourselves at home.,narration
Tifa,Take a rest?,narration
Barret,I'm gonna relax for a while.,action
Aeris,Want to rest?,narration
RedXIII,Shall we rest?,narration
Yuffie,Wanna rest?,narration
Cloud,Yeah...,narration
Cloud,Hmmm...,narration
Grey text,...That reminds me,narration
Cloud,You again? ...Who are you?,narration
Grey text,"...You'll find out soon. ......But more importantly, 5 years ago...",action
Cloud,5 Years ago...Nibelheim?,action
Grey text,"When you went to Mt. Nibel then, Tifa was your guide, right?",narration
Cloud,Yeah...I was surprised.,narration
Grey text,But where was Tifa other than that?,narration
Cloud,...I dunno.,narration
Grey text,It was a great chance for you two to see each other again.,narration
Cloud,...You're right.,narration
Grey text,Why couldn't you see each other alone?,dialogue
Cloud,...I don't know. I can't remember clearly...,narration
Grey text,Why don't you try asking Tifa?,dialogue
Cloud,...Yeah.,narration
Grey text,"Then, get up!",narration
Tifa,"Hey wake up. Wake up, Cloud!",narration
Cloud,"Tifa... When Sephiroth and I went to Nibelheim, where were you?",narration
Tifa,"...We saw each other, right?",narration
Cloud,The other time.,narration
Tifa,"No...it was 5 years ago. I don't remember. But, something seems strange outside. Cloud, come quick.",action
Tifa,Doesn't it seem a little strange? Everything getting so noisy all of a sudden...?,narration
Aeris,I heard that girl regained consciousness.,narration
Barret,Seems like something's goin' on up there!,action
RedXIII,Does this have something to do with the Shinra?,narration
Yuffie,What's this loud music? It's giving me a headache!,dialogue
Cloud,Are you all right now?,narration
Priscilla,Umm...thanks for helping...,narration
Priscilla,"I'm sorry , I mistook you for one of those Shinra, Inc....",narration
Cloud,That's all right.,narration
Priscilla,I'll give you something SPECIAL!,narration
Priscilla,"It's an amulet. Take good care of it, ok?",action
On-screen,"Received ""Shiva"" Materia!",system
Priscilla,"It's at my house, so come by later to pick it up, ok?",narration
Barret,What's that music? It sure sounds lively.,dialogue
Priscilla,I heard they're rehearsing the reception for the new Shinra president.,narration
Barret,Rufus!? I gotta pay my respects.,action
Priscilla,"Grandpa and grandma told me this beach was beautiful when they were small. But after the Shinra built that city above, the sun stopped shining here, and the water got polluted... I was raised on that story and hate Shinra so much, I could die!",action
Aeris,"You think Rufus is thinking about crossing the ocean from here, too? What? Does that mean Sephiroth already crossed the ocean?",dialogue
Red XIII,"Cloud, didn't you finish Rufus off?",narration
Barret,We gotta get to the town up there... Mebbe we could climb the tower?,action
Priscilla,"No! No! There's a high voltage current running underneath the tower. Don't wander near it, it's dangerous!",action
Priscilla,But...you might be able to if Mr.Dolphin helps you. Follow me!,action
Tifa,High voltage tower...... I guess this means Cloud'll be all right.,narration
Aeris,"Yeah, better leave it to Cloud!",narration
Red XIII,"We're counting on you, Cloud",narration
Cloud,Hey!!,narration
Cloud,Wait a second!,action
Tifa,Don't you just hate this?,narration
Aeris,You're probably right.,narration
Barret,"Yeah, I'd like to take a good look at the new President of Shinra, Inc.!",action
RedXIII,That looks like a Shinra soldier.,narration
Yuffie,Aren't you going to follow her?,action
Priscilla,Wait a minute.,action
Barret,Now ain't that something! I ain't never seen no Dolphin jump like that!,narration
Priscilla,"Pretty cool, huh? When I blow this whistle, Mr.Dolphin jumps for me.",narration
Priscilla,"Here!! This is for you, Cloud!",narration
Cloud,A gift? What am I supposed to do with it!?,dialogue
Priscilla,"Just go into the water, blow this whistle, and Mr.Dolphin'll jump you to the top of the pole!",action
Cloud,Jump to the top of the pole?,narration
Priscilla,"See that rod sticking out at the top? If you jump just right, you can climb to the top of the town.",narration
Barret,"Good luck Cloud! If you make it, we'll follow you!",action
Barret,"Whoa, I'll hold the PHS for you. It'll break if it gets wet.",narration
Priscilla,You wanna jump with Mr.Dolphin?,narration
Priscilla,Come back whenever you want to see Mr.Dolphin!,narration
Priscilla,Did you drown? It gets deeper the farther you go out.,action
Priscilla,There's high voltage running through the bottom of the tower. Don't go near it...,action
On-screen,Get out of the water?,system
NPC,Hey! You still dressed like that!? Come 'ere!,narration
NPC,Hey! Rookie!! Can't you hear me!! Come over here!,narration
NPC,Here!! Get in the room!,narration
NPC,Today's the big day when we welcome President Rufus! Hurry up and change!,narration
NPC,There's a uniform in the locker. Hurry and change!,narration
Cloud,It's the Shinra uniform.,narration
Cloud,There's Shinra soldiers all around. Better not try anything dumb...,narration
NPC,Quit yappin'! Hurry up!,narration
Cloud,Brings back memories...,narration
NPC,Quit yappin'! Hurry up!,narration
Cloud,A Shinra uniform... I was so proud when I first put it on.,narration
Cloud,I wonder when it was... ...I couldn't stand wearing this thing anymore.,narration
NPC 1,Wow! You look good in it!,action
NPC 1,"You remember the Greeting procedure, right!?",narration
NPC 1,"...the look on your face says you forgot. All right, I'll show you again! Do just like we do.",action
NPC 2,Commander!! We'll help too! This is how to do it!,narration
NPC 3,We'll sing too!,narration
NPC 1,All right! Show 'em!!,narration
NPC 2,"Now, march!! This's the Welcoming March!",narration
NPC 3,Then! I'll sing along with you!,narration
NPC 3,"Quietly--!! Aaaaah! Aaaaah! Hey, come on now. Now!",narration
NPC 1,"And...march--!! One, two...! Three, four!",narration
Song ,Rufus--- Rufus Shinra----,narration
NPC 1,Got it!?,action
NPC 1,All right! Once more!,narration
NPC 1,Good! Make sure you do well at the real parade!,action
NPC 4,Rufus has arrived! Preparation completed!,narration
NPC 1,"All right, show time! Don't disgrace yourselves!",narration
NPC,Begin the Welcome Parade!,narration
NPC,"What? It's not time for our shift, yet. Just relax.",dialogue
Cloud,Uh...yea......,narration
NPC 1,Oh...no...!! No one's here!,narration
NPC 1,Late---!?,narration
NPC 1,Hey! Rookie!! It's because you're running around like that!!,action
NPC 2,Captain!! We'll take a short cut!,narration
NPC 1,Right! Good idea. Get over here!!,action
NPC 1,Hey!! Don't get me any madder than I already am!,narration
NPC 1,All right! You first!,narration
NPC 1,"I'll go first! Now you watch close and do as I do, rookie! Just sneak into the back of the line when you see an opening.",action
NPC 1,"Now listen up! This parade's gonna be broadcast live on Shinra TV, around the world! If you look bad, the whole Junon army will look bad. Remember that and don't screw up!",action
NPC 1,OK! Jump in when I give you the sign!,narration
NPC 1,Just sneak in from the back! Don't mess up the row! And no matter what you do don't try to go in from the front!,action
NPC 1,All right!! Start marching!!,narration
NPC 1,Charge--!!,narration
NPC 1,"No, what're you doing!?",dialogue
NPC 1,Hey!! Don't play around!,narration
NPC 1,Just GO! Then you just nonchalantly sneak in from the back! Make sure no one sees you!,action
NPC 1,Hey!! Don't run away from me!,action
 NPC,Now!! XXX......!,narration
TV Producer,What the hell was that soldier doing?,dialogue
AD,I don't know.,narration
